element_id,text,page_number,filename,chunk_id
bd0b776276cae656ff10b842564770c7,Article,1,app\data\tmp\ALD patent background + target paper.pdf,1
181beb7ff10536b60933c566db7b6738,Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease,1,app\data\tmp\ALD patent background + target paper.pdf,2
6e4131e1e7f336505f7bc747474d3375,"https://doi.org/10.1038/s41586-019-1742-x Received: 9 April 2019 Accepted: 2 October 2019 Published online: 13 November 2019

https://doi.org/10.1038/s41586-019-1742-x",1,app\data\tmp\ALD patent background + target paper.pdf,3
a03f68ff8e03b5498bacaa157710d3fd,"Received: 9 April 2019

Accepted: 2 October 2019

Published online: 13 November 2019",1,app\data\tmp\ALD patent background + target paper.pdf,4
ae8c0529e39788f71a222cc70fa2f1ab,"Yi Duan1,2,29, Cristina Llorente1,2,29, Sonja Lang1, Katharina Brandl3, Huikuan Chu1, Lu Jiang1,2, Richard C. White4, Thomas H. Clarke4, Kevin Nguyen4, Manolito Torralba5, Yan Shao6, Jinyuan Liu7, Adriana Hernandez-Morales8, Lauren Lessor9, Imran R. Rahman10, Yukiko Miyamoto1, Melissa Ly11, Bei Gao1, Weizhong Sun1, Roman Kiesel1, Felix Hutmacher1, Suhan Lee1, Meritxell Ventura-Cots12, Francisco Bosques-Padilla13, Elizabeth C. Verna14, Juan G. Abraldes15, Robert S. Brown Jr16, Victor Vargas17,18,",1,app\data\tmp\ALD patent background + target paper.pdf,5
54f3b478381273af6d8623e134872345,"Jose Altamirano17, Juan Caballería18,19, Debbie L. Shawcross20, Samuel B. Ho1,2, Alexandre Louvet21, Michael R. Lucey22, Philippe Mathurin21, Guadalupe Garcia-Tsao23,24, Ramon Bataller12, Xin M. Tu7, Lars Eckmann1, Wilfred A. van der Donk10,25,26, Ry Young8,9, Trevor D. Lawley6, Peter Stärkel27, David Pride1,11,28, Derrick E. Fouts4 & Bernd Schnabl1,2,28*",1,app\data\tmp\ALD patent background + target paper.pdf,6
93de733c78594997019bb9302194d0be,"Chronic liver disease due to alcohol-use disorder contributes markedly to the global burden of disease and mortality1–3. Alcoholic hepatitis is a severe and life-threatening form of alcohol-associated liver disease. The gut microbiota promotes ethanol- induced liver disease in mice4, but little is known about the microbial factors that are responsible for this process. Here we identify cytolysin—a two-subunit exotoxin that is secreted by Enterococcus faecalis5,6—as a cause of hepatocyte death",1,app\data\tmp\ALD patent background + target paper.pdf,7
c986531d5412f4e355298480deca8a43,"and liver injury. Compared with non-alcoholic individuals or patients with alcohol-use disorder, patients with alcoholic hepatitis have increased faecal numbers of E. faecalis. The presence of cytolysin-positive (cytolytic) E. faecalis correlated with the severity of liver disease and with mortality in patients with alcoholic hepatitis. Using humanized mice that were colonized with bacteria from the faeces of patients with alcoholic hepatitis, we investigated the therapeutic effects of",1,app\data\tmp\ALD patent background + target paper.pdf,8
da47bac9e20147d5d975c6657db03f51,"bacteriophages that target cytolytic E. faecalis. We found that these bacteriophages decrease cytolysin in the liver and abolish ethanol-induced liver disease in humanized mice. Our findings link cytolytic E. faecalis with more severe clinical outcomes and increased mortality in patients with alcoholic hepatitis. We show that bacteriophages can specifically target cytolytic E. faecalis, which provides a method for precisely editing the intestinal microbiota. A clinical trial with a larger cohort",1,app\data\tmp\ALD patent background + target paper.pdf,9
1dd4d1aa056150ab861d62a8faa3723a,"is required to validate the relevance of our findings in humans, and to test whether this therapeutic approach is effective for patients with alcoholic hepatitis.",1,app\data\tmp\ALD patent background + target paper.pdf,10
1d4d6a1605a2007d1c0d85a5d80fd024,"The most severe form of alcohol-related liver disease is alcoholic hepa- titis; mortality ranges from 20% to 40% at 1–6 months, and as many as 75% of patients die within 90 days of a diagnosis of severe alcoholic hepatitis7–9. Therapy with corticosteroids is only marginally effective9. Early liver transplantation is the only curative therapy, but is offered only at select centres and to a limited group of patients10.",1,app\data\tmp\ALD patent background + target paper.pdf,11
869164d59f10a08b99e4509d3187c4e1,Alcohol-related liver disease can be transmitted via faecal micro- biota4. We investigated the microorganisms and microbial factors that are responsible for this transmissible phenotype and for progression of alcohol-related liver disease.,1,app\data\tmp\ALD patent background + target paper.pdf,12
cf2fcc649a4aa8f5119ff580e42687c4,Cytolysin linked to increased mortality,1,app\data\tmp\ALD patent background + target paper.pdf,13
acb2c9360ceb581180f68fdf8236676a,We performed 16S ribosomal RNA (rRNA) gene sequencing to deter- mine whether chronic alcohol use and alcoholic hepatitis are associated,1,app\data\tmp\ALD patent background + target paper.pdf,14
355bbe3840b9052292a5143bc76ba246,A list of affiliations appears at the end of the paper.,1,app\data\tmp\ALD patent background + target paper.pdf,15
2e9dab8c9390b48d812be9a6ec4389c3,"with an altered composition of the faecal microbiota. Differences in faecal microbiota composition were noted in patients with alcohol-use disorder and alcoholic hepatitis, compared to subjects without alcohol- use disorder (controls) (Fig. 1a, Extended Data Fig. 1a, b, Supplementary Tables 1, 2). One substantial difference that we observed was an increase in the proportion of Enterococcus spp. in patients with alcoholic hepa- titis: in these patients, 5.59% of faecal bacteria were Enterococcus",1,app\data\tmp\ALD patent background + target paper.pdf,16
b6127ade3d8300705287b45e04a437e8,"spp. compared with almost none in controls (0.023%; for comparison, 0.004% of all reads were Enterococcus spp. in the Human Microbiome Project) or patients with alcohol-use disorder (0.024%). Faecal sam- ples from patients with alcoholic hepatitis had about 2,700-fold more E. faecalis than samples from controls, as measured by quantitative PCR (qPCR) (Extended Data Fig. 1c), which is consistent with the 16S rRNA sequencing results. About 80% of patients with alcoholic hepatitis are positive for",1,app\data\tmp\ALD patent background + target paper.pdf,17
1d3f1c4c0a4ee6e0b60b79ddb43e7bf8,E. faecalis in their faeces (Extended Data Fig. 1d).,1,app\data\tmp\ALD patent background + target paper.pdf,18
824d7425c39b56495c815061b2d40c9d,"Nature | www.nature.com | 1

1",1,app\data\tmp\ALD patent background + target paper.pdf,19
07772919795b420da5863f023dcc2dbf,Article,2,app\data\tmp\ALD patent background + target paper.pdf,20
7d898269e95c4b633bd08360cf42e5c8,a  Controls  0.2  Alcohol-use disorder  Alcoholic hepatitis  )  %  5  7  .  7  1  (     2  C  P  0.1  0  −0.1  –0.2 –0.1  0  0.1 0.2  PC1 (29.25%) ,2,app\data\tmp\ALD patent background + target paper.pdf,21
b76e80fd1206ce67d2018027fc1b3b48,‘m,2,app\data\tmp\ALD patent background + target paper.pdf,22
da1229b98c1bcdb4cece82773ee24e76,b,2,app\data\tmp\ALD patent background + target paper.pdf,23
efec994032fd225f90a791b5ebb07eb8,100  Cytolysin-negative  Cytolysin-positive  )  %  (  s  t  c  e  j  b  u  S  80  60  40  20  0  Controls  AUD  Alcoholic ,2,app\data\tmp\ALD patent background + target paper.pdf,24
25e832f0c5431535aa769a8eec045b42,ma,2,app\data\tmp\ALD patent background + target paper.pdf,25
355900ca90a1cbfc73c5d5a98a66bcd6,=,2,app\data\tmp\ALD patent background + target paper.pdf,26
1a71e0e050b355f7226f6b4f989e1aea,)  %  (  l  a  v  i  v  r  u  S  100  75  50  25  0  0  30  Cytolysin-negative  Cytolysin-positive  60  90  120  150  180  Time (d) ,2,app\data\tmp\ALD patent background + target paper.pdf,27
2d52a405a6c203691797c8d8bbbb42d0,d,2,app\data\tmp\ALD patent background + target paper.pdf,28
2496d335772faf17889588416e0cc39c,0.15  Cytolysin-negative  Cytolysin-positive ,2,app\data\tmp\ALD patent background + target paper.pdf,29
6c3130e7d1a6621ea63cbae328bf0c8b,"@

@",2,app\data\tmp\ALD patent background + target paper.pdf,30
c2ed7937bb58f3e1b8fba73777f0b090,"Fig. 1 | E. faecalis cytolysin is associated with mortality in patients with alcoholic hepatitis. a, 16S rRNA sequencing of faecal samples from controls (n = 14), patients with alcohol-use disorder (n = 43) or alcoholic hepatitis (n = 75). We use principal coordinate analysis (PCoA) based on Jaccard dissimilarity matrices to show β-diversity among groups at the genus level. The composition of faecal microbiota was significantly different between each group (P < 0.01). b, Percentage of subjects",2,app\data\tmp\ALD patent background + target paper.pdf,31
6dd219ed908c4c59b7cbfab7e8854573,"with faecal samples that were positive for both cylLL and cylLS DNA sequences (cytolysin-positive), in controls (n = 25), patients with alcohol-use disorder (n = 38) or alcoholic hepatitis (n = 82), assessed by qPCR. Statistically significant differences were detected between controls and patients with alcoholic hepatitis (P < 0.01), and between patients with alcohol- use disorder and patients with alcoholic hepatitis (P < 0.001). c, Kaplan–Meier curve of survival of patients with alcoholic",2,app\data\tmp\ALD patent background + target paper.pdf,32
a709bf3499c6988848ce4897d661d9e2,"hepatitis whose faecal samples were cytolysin-positive (n = 25) or cytolysin-negative (n = 54) (P < 0.0001). d, Core genome single-nucleotide polymorphism (SNP) tree of E. faecalis strains isolated from patients with alcoholic hepatitis (n = 93 strains, from 24 patients), showing phylogenetic diversity of cytolysin-positive (red) E. faecalis. Genomically identical isolates from the same patient were combined, and are shown as a single dot. Scale bar represents the nucleotide substitutions per",2,app\data\tmp\ALD patent background + target paper.pdf,33
ba5612ca95f6dcdf57d83d1570f779a2,"SNP site. P values are determined by permutational multivariate analysis of variance (PERMANOVA) followed by false discovery rate (FDR) procedures (a), two-sided Fisher’s exact test followed by FDR procedures (b) or two-sided log- rank (Mantel–Cox) test (c). The exact group size (n) and P values for each comparison are listed in Supplementary Table 10.",2,app\data\tmp\ALD patent background + target paper.pdf,34
8236d6f4a45db9070aab3b792e782f31,"The colonization of mice with E. faecalis induces mild hepatic stea- tosis and exacerbates ethanol-induced liver disease11, by mechanisms that are unclear. Cytolysin is a bacterial exotoxin (or bacteriocin) that is produced by E. faecalis12, and which contains two post-translationally modified peptides (CylLL′′ and CylLS′′) in its bioactive form6. The two peptides are encoded by two separate genes: cylLL and cylLS, respec- tively12. Cytolysin has lytic activity against not only Gram-positive",2,app\data\tmp\ALD patent background + target paper.pdf,35
8890a3f00951f718471d8f5072af1949,"bacte- ria, but also eukaryotic cells13. We detected cylLL and cylLS genomic DNA (cytolysin-positive) in faecal samples from 30% of patients with alco- holic hepatitis; none of the faecal samples from controls and only one sample from a patient with alcohol-use disorder was cytolysin-positive, as detected by qPCR (Fig. 1b). Importantly, 89% of cytolysin-positive patients with alcoholic hepatitis died within 180 days of admission, compared to only 3.8% of cytolysin-negative patients (P < 0.0001)",2,app\data\tmp\ALD patent background + target paper.pdf,36
bc8f233615d19d70a36352d87ee6321a,"(Fig. 1c). Among the cytolysin-positive patients, 72.2% (13 out of 18) died owing to liver failure (including complications related to liver",2,app\data\tmp\ALD patent background + target paper.pdf,37
408ce44958e3962024f3107d220ef5ec,2 | Nature | www.nature.com,2,app\data\tmp\ALD patent background + target paper.pdf,38
0392181db05b7974f9acf50f8165ac3b,"failure, such as gastrointestinal bleeding) (Supplementary Table 2). Infection was not associated with 30-day, 90-day or 180-day mortality (P = 0.403, 0.234 or 0.098) in patients with alcoholic hepatitis.",2,app\data\tmp\ALD patent background + target paper.pdf,39
125fa27675c7dc1c74c6ba771da29661,"Our univariate logistic and Cox regression of laboratory and clinical parameters found an association between the detection of cytolysin- encoding genes in faeces and the international normalized ratio (INR), platelet count, the model for end-stage liver disease (MELD) score, the sodium MELD score, the age, serum bilirubin, INR and serum creatinine (ABIC) score and death (Supplementary Table 3). In the multivariate Cox analysis, detection of cytolysin-encoding genes in faeces was associated with",2,app\data\tmp\ALD patent background + target paper.pdf,40
