element_id,text,page_number,filename,chunk_id,method,hypothetical_questions,keywords
9e6d0467f5a7a8a9d60af64b4693464c,"Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease

https://doi.org/10.1038/s41586-019-1742-x

Received: 9 April 2019

Accepted: 2 October 2019

Published online: 13 November 2019

--- Extracted Metadata ---
Keywords: Bacteriophage, gut bacterium, alcoholic liver disease, microbiome, viral therapy
Methods: Bacteriophage targeting, alcoholic liver disease
Hypothetical Questions: Can bacteriophages be used to target gut bacteria to attenuate alcoholic liver disease?",1,ald_paper,1,"['Bacteriophage targeting', 'alcoholic liver disease']",['Can bacteriophages be used to target gut bacteria to attenuate alcoholic liver disease?'],"['Bacteriophage', 'gut bacterium', 'alcoholic liver disease', 'microbiome', 'viral therapy']"
a6bf0dff8115f7a67accd04a21d26bd5,"Yi Duan1,2,29, Cristina Llorente1,2,29, Sonja Lang1, Katharina Brandl3, Huikuan Chu1, Lu Jiang1,2, Richard C. White4, Thomas H. Clarke4, Kevin Nguyen4, Manolito Torralba5, Yan Shao6, Jinyuan Liu7, Adriana Hernandez-Morales8, Lauren Lessor9, Imran R. Rahman10, Yukiko Miyamoto1, Melissa Ly11, Bei Gao1, Weizhong Sun1, Roman Kiesel1, Felix Hutmacher1, Suhan Lee1, Meritxell Ventura-Cots12, Francisco Bosques-Padilla13, Elizabeth C. Verna14, Juan G. Abraldes15, Robert S. Brown Jr16, Victor Vargas17,18, Jose Altamirano17, Juan Caballería18,19, Debbie L. Shawcross20, Samuel B. Ho1,2, Alexandre Louvet21, Michael R. Lucey22, Philippe Mathurin21, Guadalupe Garcia-Tsao23,24, Ramon Bataller12, Xin M. Tu7, Lars Eckmann1, Wilfred A. van der Donk10,25,26, Ry Young8,9, Trevor D. Lawley6, Peter Stärkel27, David Pride1,11,28, Derrick E. Fouts4 & Bernd Schnabl1,2,28*

--- Extracted Metadata ---
Keywords: Yi Duan, Cristina Llorente, Sonja Lang, Katharina Brandl, Huikuan Chu, Lu Jiang, Richard C. White, Thomas H. Clarke, Kevin Nguyen, Manolito Torralba, Yan Shao, Jinyuan Liu, Adriana Hernandez-Morales, Lauren Lessor, Imran R. Rahman, Yukiko Miyamoto, Melissa Ly, Bei Gao, Weizhong Sun, Roman Kiesel, Felix Hutmacher, Suhan Lee, Meritxell Ventura-Cots, Francisco Bosques-Padilla, Elizabeth C. Verna, Juan G. Abraldes, Robert S. Brown Jr, Victor Vargas, Jose Altamirano, Juan Caballería, Debbie L. Shawcross, Samuel B. Ho, Alexandre Louvet, Michael R. Lucey, Philippe Mathurin, Guadalupe Garcia-Tsao, Ramon Bataller, Xin M. Tu, Lars Eckmann, Wilfred A. van der Donk, Ry Young, Trevor D. Lawley, Peter Stärkel, David Pride, Derrick E. Fouts, Bernd Schnabl",1,ald_paper,2,[],[],"['Yi Duan', 'Cristina Llorente', 'Sonja Lang', 'Katharina Brandl', 'Huikuan Chu', 'Lu Jiang', 'Richard C. White', 'Thomas H. Clarke', 'Kevin Nguyen', 'Manolito Torralba', 'Yan Shao', 'Jinyuan Liu', 'Adriana Hernandez-Morales', 'Lauren Lessor', 'Imran R. Rahman', 'Yukiko Miyamoto', 'Melissa Ly', 'Bei Gao', 'Weizhong Sun', 'Roman Kiesel', 'Felix Hutmacher', 'Suhan Lee', 'Meritxell Ventura-Cots', 'Francisco Bosques-Padilla', 'Elizabeth C. Verna', 'Juan G. Abraldes', 'Robert S. Brown Jr', 'Victor Vargas', 'Jose Altamirano', 'Juan Caballería', 'Debbie L. Shawcross', 'Samuel B. Ho', 'Alexandre Louvet', 'Michael R. Lucey', 'Philippe Mathurin', 'Guadalupe Garcia-Tsao', 'Ramon Bataller', 'Xin M. Tu', 'Lars Eckmann', 'Wilfred A. van der Donk', 'Ry Young', 'Trevor D. Lawley', 'Peter Stärkel', 'David Pride', 'Derrick E. Fouts', 'Bernd Schnabl']"
4caa28f42ec66b346172e2e3db7824b0,"Chronic liver disease due to alcohol-use disorder contributes markedly to the global burden of disease and mortality1–3. Alcoholic hepatitis is a severe and life-threatening form of alcohol-associated liver disease. The gut microbiota promotes ethanol- induced liver disease in mice4, but little is known about the microbial factors that are responsible for this process. Here we identify cytolysin—a two-subunit exotoxin that is secreted by Enterococcus faecalis5,6—as a cause of hepatocyte death and liver injury. Compared with non-alcoholic individuals or patients with alcohol-use disorder, patients with alcoholic hepatitis have increased faecal numbers of E. faecalis. The presence of cytolysin-positive (cytolytic) E. faecalis correlated with the severity of liver disease and with mortality in patients with alcoholic hepatitis. Using humanized mice that were colonized with bacteria from the faeces of patients with alcoholic hepatitis, we investigated the therapeutic effects of

--- Extracted Metadata ---
Keywords: chronic liver disease, alcohol-use disorder, alcoholic hepatitis, Enterococcus faecalis, cytolysin, hepatocyte death, liver injury
Methods: microbiota analysis, identification of cytolysin, humanized mouse model
Hypothetical Questions: How does the gut microbiota contribute to ethanol-induced liver disease?, What are the microbial factors responsible for promoting alcohol-associated liver disease?, What is the therapeutic potential of targeting gut microbiota in alcoholic hepatitis?",1,ald_paper,3,"['microbiota analysis', 'identification of cytolysin', 'humanized mouse model']","['How does the gut microbiota contribute to ethanol-induced liver disease?', 'What are the microbial factors responsible for promoting alcohol-associated liver disease?', 'What is the therapeutic potential of targeting gut microbiota in alcoholic hepatitis?']","['chronic liver disease', 'alcohol-use disorder', 'alcoholic hepatitis', 'Enterococcus faecalis', 'cytolysin', 'hepatocyte death', 'liver injury']"
fa7c0c26edf82dc537d45cd39b084ded,"te death and liver injury. Compared with non-alcoholic individuals or patients with alcohol-use disorder, patients with alcoholic hepatitis have increased faecal numbers of E. faecalis. The presence of cytolysin-positive (cytolytic) E. faecalis correlated with the severity of liver disease and with mortality in patients with alcoholic hepatitis. Using humanized mice that were colonized with bacteria from the faeces of patients with alcoholic hepatitis, we investigated the therapeutic effects of bacteriophages that target cytolytic E. faecalis. We found that these bacteriophages decrease cytolysin in the liver and abolish ethanol-induced liver disease in humanized mice. Our findings link cytolytic E. faecalis with more severe clinical outcomes and increased mortality in patients with alcoholic hepatitis. We show that bacteriophages can specifically target cytolytic E. faecalis, which provides a method for precisely editing the intestinal microbiota. A clinical trial with a larger cohort

--- Extracted Metadata ---
Keywords: alcoholic hepatitis, faecal numbers, E. faecalis, cytolysin, liver injury, intestinal microbiota, clinical outcomes, mortality, clinical trial
Methods: bacteriophages, targeting cytolytic E. faecalis, humanized mice, colonization with bacteria, therapeutic effects, investigation, linking cytolytic E. faecalis with severe clinical outcomes, editing the intestinal microbiota
Hypothetical Questions: Can bacteriophages target cytolytic E. faecalis effectively in patients with liver disease?, What are the therapeutic effects of bacteriophages on cytolytic E. faecalis in alcoholic hepatitis?, How do cytolytic E. faecalis correlate with the severity of liver disease?, Can humanized mice be used to study the effects of cytolytic E. faecalis in liver disease?",1,ald_paper,4,"['bacteriophages', 'targeting cytolytic E. faecalis', 'humanized mice', 'colonization with bacteria', 'therapeutic effects', 'investigation', 'linking cytolytic E. faecalis with severe clinical outcomes', 'editing the intestinal microbiota']","['Can bacteriophages target cytolytic E. faecalis effectively in patients with liver disease?', 'What are the therapeutic effects of bacteriophages on cytolytic E. faecalis in alcoholic hepatitis?', 'How do cytolytic E. faecalis correlate with the severity of liver disease?', 'Can humanized mice be used to study the effects of cytolytic E. faecalis in liver disease?']","['alcoholic hepatitis', 'faecal numbers', 'E. faecalis', 'cytolysin', 'liver injury', 'intestinal microbiota', 'clinical outcomes', 'mortality', 'clinical trial']"
848cfd971c8ba62b75b7ab77ec61038c,"acteriophages that target cytolytic E. faecalis. We found that these bacteriophages decrease cytolysin in the liver and abolish ethanol-induced liver disease in humanized mice. Our findings link cytolytic E. faecalis with more severe clinical outcomes and increased mortality in patients with alcoholic hepatitis. We show that bacteriophages can specifically target cytolytic E. faecalis, which provides a method for precisely editing the intestinal microbiota. A clinical trial with a larger cohort is required to validate the relevance of our findings in humans, and to test whether this therapeutic approach is effective for patients with alcoholic hepatitis.

--- Extracted Metadata ---
Keywords: bacteriophages, cytolytic E. faecalis, cytolysin, liver disease, intestinal microbiota, alcoholic hepatitis, clinical trial
Methods: bacteriophages targeting cytolytic E. faecalis, decreasing cytolysin in the liver, abolishing ethanol-induced liver disease, precisely editing the intestinal microbiota
Hypothetical Questions: Can bacteriophages effectively target cytolytic E. faecalis in humans?, Is the decrease in cytolysin in the liver a potential treatment for liver diseases?, Does editing the intestinal microbiota with bacteriophages have therapeutic benefits for patients with alcoholic hepatitis?",1,ald_paper,5,"['bacteriophages targeting cytolytic E. faecalis', 'decreasing cytolysin in the liver', 'abolishing ethanol-induced liver disease', 'precisely editing the intestinal microbiota']","['Can bacteriophages effectively target cytolytic E. faecalis in humans?', 'Is the decrease in cytolysin in the liver a potential treatment for liver diseases?', 'Does editing the intestinal microbiota with bacteriophages have therapeutic benefits for patients with alcoholic hepatitis?']","['bacteriophages', 'cytolytic E. faecalis', 'cytolysin', 'liver disease', 'intestinal microbiota', 'alcoholic hepatitis', 'clinical trial']"
f69623e70df04794c247d3a05995e5b6,"The most severe form of alcohol-related liver disease is alcoholic hepa- titis; mortality ranges from 20% to 40% at 1–6 months, and as many as 75% of patients die within 90 days of a diagnosis of severe alcoholic hepatitis7–9. Therapy with corticosteroids is only marginally effective9. Early liver transplantation is the only curative therapy, but is offered only at select centres and to a limited group of patients10.

Alcohol-related liver disease can be transmitted via faecal micro- biota4. We investigated the microorganisms and microbial factors that are responsible for this transmissible phenotype and for progression of alcohol-related liver disease.

Cytolysin linked to increased mortality We performed 16S ribosomal RNA (rRNA) gene sequencing to deter- mine whether chronic alcohol use and alcoholic hepatitis are associated

--- Extracted Metadata ---
Keywords: alcohol-related liver disease, alcoholic hepatitis, microorganisms, microbial factors, faecal microbiota, transmissible phenotype, 16S ribosomal RNA sequencing
Methods: 16S ribosomal RNA gene sequencing
Hypothetical Questions: What are the microorganisms responsible for the transmissible phenotype of alcohol-related liver disease?, How is chronic alcohol use and alcoholic hepatitis associated with 16S ribosomal RNA sequencing?",1,ald_paper,6,['16S ribosomal RNA gene sequencing'],"['What are the microorganisms responsible for the transmissible phenotype of alcohol-related liver disease?', 'How is chronic alcohol use and alcoholic hepatitis associated with 16S ribosomal RNA sequencing?']","['alcohol-related liver disease', 'alcoholic hepatitis', 'microorganisms', 'microbial factors', 'faecal microbiota', 'transmissible phenotype', '16S ribosomal RNA sequencing']"
18dfd4719c4760082d70830fb3dd5b61,"with an altered composition of the faecal microbiota. Differences in faecal microbiota composition were noted in patients with alcohol-use disorder and alcoholic hepatitis, compared to subjects without alcohol- use disorder (controls) (Fig. 1a, Extended Data Fig. 1a, b, Supplementary Tables 1, 2). One substantial difference that we observed was an increase in the proportion of Enterococcus spp. in patients with alcoholic hepa- titis: in these patients, 5.59% of faecal bacteria were Enterococcus spp. compared with almost none in controls (0.023%; for comparison, 0.004% of all reads were Enterococcus spp. in the Human Microbiome Project) or patients with alcohol-use disorder (0.024%). Faecal sam- ples from patients with alcoholic hepatitis had about 2,700-fold more E. faecalis than samples from controls, as measured by quantitative PCR (qPCR) (Extended Data Fig. 1c), which is consistent with the 16S rRNA sequencing results. About 80% of patients with alcoholic hepatitis are positive for

--- Extracted Metadata ---
Keywords: faecal microbiota composition, alcohol-use disorder, alcoholic hepatitis, Enterococcus spp., E. faecalis, 16S rRNA sequencing, quantitative PCR (qPCR)
Methods: 16S rRNA sequencing, Quantitative PCR (qPCR)
Hypothetical Questions: How does the composition of the faecal microbiota differ in patients with alcohol-use disorder and alcoholic hepatitis compared to subjects without alcohol-use disorder?, What is the proportion of Enterococcus spp. in patients with alcoholic hepatitis compared to controls and patients with alcohol-use disorder?, How does the abundance of E. faecalis in faecal samples from patients with alcoholic hepatitis compare to samples from controls?, What percentage of patients with alcoholic hepatitis are positive for a specific indicator (to be completed with specific indicator)?",1,ald_paper,7,"['16S rRNA sequencing', 'Quantitative PCR (qPCR)']","['How does the composition of the faecal microbiota differ in patients with alcohol-use disorder and alcoholic hepatitis compared to subjects without alcohol-use disorder?', 'What is the proportion of Enterococcus spp. in patients with alcoholic hepatitis compared to controls and patients with alcohol-use disorder?', 'How does the abundance of E. faecalis in faecal samples from patients with alcoholic hepatitis compare to samples from controls?', 'What percentage of patients with alcoholic hepatitis are positive for a specific indicator (to be completed with specific indicator)?']","['faecal microbiota composition', 'alcohol-use disorder', 'alcoholic hepatitis', 'Enterococcus spp.', 'E. faecalis', '16S rRNA sequencing', 'quantitative PCR (qPCR)']"
71353553fdb6fda679ed42d845c050c1,"spp. compared with almost none in controls (0.023%; for comparison, 0.004% of all reads were Enterococcus spp. in the Human Microbiome Project) or patients with alcohol-use disorder (0.024%). Faecal sam- ples from patients with alcoholic hepatitis had about 2,700-fold more E. faecalis than samples from controls, as measured by quantitative PCR (qPCR) (Extended Data Fig. 1c), which is consistent with the 16S rRNA sequencing results. About 80% of patients with alcoholic hepatitis are positive for E. faecalis in their faeces (Extended Data Fig. 1d).

--- Extracted Metadata ---
Keywords: E. faecalis, alcoholic hepatitis, quantitative PCR, 16S rRNA sequencing
Methods: quantitative PCR (qPCR), 16S rRNA sequencing
Hypothetical Questions: What is the difference in E. faecalis abundance in patients with alcoholic hepatitis compared to controls?, How does E. faecalis abundance in fecal samples from patients with alcoholic hepatitis compare to those with alcohol-use disorder and the general population?",1,ald_paper,8,"['quantitative PCR (qPCR)', '16S rRNA sequencing']","['What is the difference in E. faecalis abundance in patients with alcoholic hepatitis compared to controls?', 'How does E. faecalis abundance in fecal samples from patients with alcoholic hepatitis compare to those with alcohol-use disorder and the general population?']","['E. faecalis', 'alcoholic hepatitis', 'quantitative PCR', '16S rRNA sequencing']"
d404c4b5d29da6128da33ce88011af73,"A list of affiliations appears at the end of the paper.

Nature | www.nature.com | 1",1,ald_paper,9,[],[],[]
8db56668cdcc3579c607ff3893fd53cf,"Article

a

Controls Alcohol-use disorder Alcoholic hepatitis

b

Cytolysin-negative Cytolysin-positive

0.2

100

)

% 5 7 . 7 1

(

2 C P

0.1

0

−0.1

)

%

(

s t c e b u S

j

80

60

40

20

–0.2 –0.1

0 PC1 (29.25%)

0.1 0.2

0

Controls

AUD

Alcoholic hepatitis

c

d

Cytolysin-negative Cytolysin-positive

100

%

75

(

l

a v v r u S

i

50

25

0

0

30

60

90 Time (d)

120

150

180

0.15

Cytolysin-negative Cytolysin-positive

--- Extracted Metadata ---
Keywords: Cytolysin-negative, Cytolysin-positive, PC1
Methods: Alcohol-use disorder, Alcoholic hepatitis",2,ald_paper,10,"['Alcohol-use disorder', 'Alcoholic hepatitis']",[],"['Cytolysin-negative', 'Cytolysin-positive', 'PC1']"
