element_id,text,page_number,filename,chunk_id,method,hypothetical_questions,keywords
5f634746d5c6ad9aeaab526045261598,"RES EARCH

MICROBIOME

Lactose drives Enterococcus expansion to promote graft-versus-host disease

C. K. Stein-Thoeringer1,2,3, K. B. Nichols1,2, A. Lazrak1,2, M. D. Docampo1,2, A. E. Slingerland1,2, J. B. Slingerland1,2, A. G. Clurman4, G. Armijo1,2, A. L. C. Gomes1,2, Y. Shono1,2, A. Staffas1,2, M. Burgos da Silva1,2, S. M. Devlin5, K. A. Markey1,2,4, D. Bajic6, R. Pinedo7, A. Tsakmaklis8,9, E. R. Littmann1,10, A. Pastore1, Y. Taur11, S. Monette12, M. E. Arcila13, A. J. Pickard14, M. Maloy4, R. J. Wright1, L. A. Amoretti1, E. Fontana1, D. Pham15, M. A. Jamal15, D. Weber16, A. D. Sung17, D. Hashimoto18, C. Scheid8, J. B. Xavier19, J. A. Messina20, K. Romero21, M. Lew17, A. Bush17, L. Bohannon17, K. Hayasaka22, Y. Hasegawa18, M. J. G. T. Vehreschild8,9,23, J. R. Cross14, D. M. Ponce2,4, M. A. Perales2,4, S. A. Giralt2,4, R. R. Jenq15, T. Teshima18,22, E. Holler16, N. J. Chao17, E. G. Pamer1,2,10, J. U. Peled1,2,4*†, M. R. M. van den Brink1,2,4*†

--- Extracted Metadata ---
Keywords: Microbiome, Lactose, Enterococcus, Graft-versus-host disease, Bacteria, Intestinal health
Methods: microbiome analysis, graft-versus-host disease study
Hypothetical Questions: How does lactose consumption affect Enterococcus levels in the microbiome?, What role does the microbiome play in the development of graft-versus-host disease?, Can manipulation of microbiome composition mitigate graft-versus-host disease severity?",1,gvhd_paper,1,"microbiome analysis, graft-versus-host disease study","How does lactose consumption affect Enterococcus levels in the microbiome?, What role does the microbiome play in the development of graft-versus-host disease?, Can manipulation of microbiome composition mitigate graft-versus-host disease severity?","Microbiome, Lactose, Enterococcus, Graft-versus-host disease, Bacteria, Intestinal health"
a985b389e8b6a8124acfef815d0b152e,"Disruption of intestinal microbial communities appears to underlie many human illnesses, but the mechanisms that promote this dysbiosis and its adverse consequences are poorly understood. In patients who received allogeneic hematopoietic cell transplantation (allo-HCT), we describe a high incidence of enterococcal expansion, which was associated with graft-versus-host disease (GVHD) and mortality. We found that Enterococcus also expands in the mouse gastrointestinal tract after allo-HCT and exacerbates disease severity in gnotobiotic models. Enterococcus growth is dependent on the disaccharide lactose, and dietary lactose depletion attenuates Enterococcus outgrowth and reduces the severity of GVHD in mice. Allo-HCT patients carrying lactose-nonabsorber genotypes showed compromised clearance of postantibiotic Enterococcus domination. We report lactose as a common nutrient that drives expansion of a commensal bacterium that exacerbates an intestinal and systemic inflammatory disease.

--- Extracted Metadata ---
Keywords: intestinal microbial communities, Enterococcus, graft-versus-host disease, GVHD, allogeneic hematopoietic cell transplantation, lactose, dysbiosis, mortality
Methods: allogeneic hematopoietic cell transplantation (allo-HCT), mouse gastrointestinal tract analysis
Hypothetical Questions: What is the relationship between lactose consumption and Enterococcus expansion in patients undergoing allo-HCT?, How does dietary lactose depletion affect graft-versus-host disease severity?, What could be the long-term impacts of disrupted intestinal microbial communities in allo-HCT patients?",1,gvhd_paper,2,"allogeneic hematopoietic cell transplantation (allo-HCT), mouse gastrointestinal tract analysis","What is the relationship between lactose consumption and Enterococcus expansion in patients undergoing allo-HCT?, How does dietary lactose depletion affect graft-versus-host disease severity?, What could be the long-term impacts of disrupted intestinal microbial communities in allo-HCT patients?","intestinal microbial communities, Enterococcus, graft-versus-host disease, GVHD, allogeneic hematopoietic cell transplantation, lactose, dysbiosis, mortality"
f737c42febe0b4721c64c3489e0adc94,"T he healthy gut is inhabited by a diverse

community of mostly anaerobic bacteria, and a hallmark of microbial imbalance (dysbiosis) observed in many disease states involves the expansion of facul- tative anaerobic bacteria (1). Enterococci are facultative anaerobes that colonize the intes- tines of almost every species, from insects to mammals (2), and make up a very small proportion (<0.1%) of the gut microbiota in healthy humans (3). However, enterococci are also pathogens; the species Enterococcus faecium and Enterococcus faecalis are impor- tant causes of multidrug-resistant infections in patients (4). In single-center studies, E. faecium has been observed to dominate the fecal microbiota of immunocompromised patients after allogeneic hematopoietic cell transplantation (allo-HCT), a curative-intent therapy for hematological malignancies (5–7). Moreover, fecal domination with vancomycin- resistant enterococci increases the risk of

--- Extracted Metadata ---
Keywords: gut microbiota, dysbiosis, facultative anaerobes, Enterococcus faecium, Enterococcus faecalis, vancomycin-resistant enterococci, immunocompromised patients, allogeneic hematopoietic cell transplantation
Hypothetical Questions: What is the impact of enterococci on gut health?, How does dysbiosis affect the prevalence of facultative anaerobes?, What role do enterococci play in infections among immunocompromised patients?",1,gvhd_paper,3,,"What is the impact of enterococci on gut health?, How does dysbiosis affect the prevalence of facultative anaerobes?, What role do enterococci play in infections among immunocompromised patients?","gut microbiota, dysbiosis, facultative anaerobes, Enterococcus faecium, Enterococcus faecalis, vancomycin-resistant enterococci, immunocompromised patients, allogeneic hematopoietic cell transplantation"
49d2fd8714cd14d3e995023d74e63c89,"bloodstream infection in allo-HCT patients (5, 8). Patients with severe graft-versus-host disease (GVHD) after allo-HCT have poor outcomes with only ~30% long-term survival (9). Gut microbiota perturbations caused by broad-spectrum antibiotics and a reduction in microbial diversity are associated with in- creased transplant-related mortality and lethal GVHD in humans and mice (10–13). Besides causing infections, experimental studies in gno- tobiotic mice have revealed that enterococci play an important role in colitis (14) by stimulat- ing antigen-presenting cells and CD4+RORg+ T cell infiltration, causing intestinal inflam- mation (15). In this study, we investigated the role of enterococci in the development of acute GVHD, both in allo-HCT patients and preclinical allo-HCT mouse models.

We used 16S ribosomal RNA (rRNA) gene sequencing to study the fecal microbiota of 1325 adult allo-HCT recipients at four HCT centers: Memorial Sloan Kettering Cancer

--- Extracted Metadata ---
Keywords: bloodstream infection, allo-HCT, graft-versus-host disease, GVHD, gut microbiota, antibiotics, microbial diversity, transplant-related mortality, enterococci, colitis, intestinal inflammation
Methods: 16S ribosomal RNA (rRNA) gene sequencing
Hypothetical Questions: What is the role of enterococci in acute graft-versus-host disease (GVHD) in allo-HCT patients?, How do gut microbiota perturbations affect transplant-related mortality and GVHD severity?, What is the association between microbial diversity and long-term survival in allo-HCT patients?",1,gvhd_paper,4,16S ribosomal RNA (rRNA) gene sequencing,"What is the role of enterococci in acute graft-versus-host disease (GVHD) in allo-HCT patients?, How do gut microbiota perturbations affect transplant-related mortality and GVHD severity?, What is the association between microbial diversity and long-term survival in allo-HCT patients?","bloodstream infection, allo-HCT, graft-versus-host disease, GVHD, gut microbiota, antibiotics, microbial diversity, transplant-related mortality, enterococci, colitis, intestinal inflammation"
dc46e6f44a7af8ea382d99f501cf7105,"Center (MSKCC) (United States), Duke Uni- versity (United States), Hokkaido University (Japan), and University Hospital Regensburg (Germany). Patient characteristics are shown in table S1. We observed high abundance of enterococci soon after transplantation in samples from all four transplant centers (Fig. 1B and fig. S1B). We defined Enterococcus domination as relative genus abundance ≥0.3 (≥30%) in any fecal sample, following a thresh- old we have used previously (5) (materials and methods and fig. S2C). The incidence of domination rose comparably across cen- ters, with up to 65% of patients exhibiting a domination event after allo-HCT (Fig. 1A). E. faecium was the dominant species in both the MSKCC and the multicenter-validation cohort (Duke, Hokkaido, and Regensburg) (Fig. 1B, fig. S1, and table S2), where 40.1% of MSKCC patients (441 of 1101 patients) and 46.0% of multicenter-validation patients (103 of 224 patients) met criteria for domination at any time point between day −20

--- Extracted Metadata ---
Keywords: Enterococcus, allo-HCT, E. faecium, transplantation, fecal samples
Methods: allo-HCT
Hypothetical Questions: What is the impact of Enterococcus domination on patient outcomes after allo-HCT?, How does relative abundance of enterococci vary across different regions or transplant centers?, What are the implications of E. faecium domination in fecal samples post-transplantation?",1,gvhd_paper,5,allo-HCT,"What is the impact of Enterococcus domination on patient outcomes after allo-HCT?, How does relative abundance of enterococci vary across different regions or transplant centers?, What are the implications of E. faecium domination in fecal samples post-transplantation?","Enterococcus, allo-HCT, E. faecium, transplantation, fecal samples"
2138cfd430bc7bc5d09491331eaf8051,"nd fig. S2C). The incidence of domination rose comparably across cen- ters, with up to 65% of patients exhibiting a domination event after allo-HCT (Fig. 1A). E. faecium was the dominant species in both the MSKCC and the multicenter-validation cohort (Duke, Hokkaido, and Regensburg) (Fig. 1B, fig. S1, and table S2), where 40.1% of MSKCC patients (441 of 1101 patients) and 46.0% of multicenter-validation patients (103 of 224 patients) met criteria for domination at any time point between day −20 and day +80 relative to the date of allo-HCT, in which cells are infused on day 0.

--- Extracted Metadata ---
Keywords: E. faecium, allo-HCT, domination, patients, bacterial species, multicenter-validation cohort
Methods: allo-HCT
Hypothetical Questions: What is the incidence of domination events in patients after allo-HCT?, Which bacterial species are dominant in patients undergoing allo-HCT?",1,gvhd_paper,6,allo-HCT,"What is the incidence of domination events in patients after allo-HCT?, Which bacterial species are dominant in patients undergoing allo-HCT?","E. faecium, allo-HCT, domination, patients, bacterial species, multicenter-validation cohort"
3a27b6e60d588c7f3def4b29acb94e23,"Fecal domination by Enterococcus in the early posttransplant period (day 0 to +21) was associated with significantly reduced overall survival and increased GVHD-related mortality in both the MSKCC and multicenter- validation cohort, as well as an increased risk of moderate-to-severe acute GVHD in the MSKCC cohort (Fig. 1, C and D, fig. S2, A and B, and table S3). The risk of relapse or disease progression was not associated with enterococcal domination in either cohort. The association of domination by genus Enterococcus with clinical outcomes in the MSKCC cohort remained significant in a multivariate analysis adjusted for graft source, disease, conditioning intensity, gender, and age (table S4). In a subset of MSKCC patients, the vanA operon was found in 152 (37.4%) of 406 patients that had samples available for analysis, indicating the presence of vancomycin-resistant enterococci (VRE) (fig. S2E). Notably, expansions of several different taxa were detected in fecal samples in this

--- Extracted Metadata ---
Keywords: Enterococcus, GVHD, vancomycin-resistant enterococci, fecal microbiome, transplant outcomes
Methods: multivariate analysis
Hypothetical Questions: What is the impact of fecal Enterococcus domination on overall survival post-transplant?, How does enterococcal domination relate to GVHD mortality?, What factors are associated with the presence of vancomycin-resistant enterococci (VRE) in transplant patients?",1,gvhd_paper,7,multivariate analysis,"What is the impact of fecal Enterococcus domination on overall survival post-transplant?, How does enterococcal domination relate to GVHD mortality?, What factors are associated with the presence of vancomycin-resistant enterococci (VRE) in transplant patients?","Enterococcus, GVHD, vancomycin-resistant enterococci, fecal microbiome, transplant outcomes"
74c23cbb73e4b5e2f75874f6b7b203f8,"nation by genus Enterococcus with clinical outcomes in the MSKCC cohort remained significant in a multivariate analysis adjusted for graft source, disease, conditioning intensity, gender, and age (table S4). In a subset of MSKCC patients, the vanA operon was found in 152 (37.4%) of 406 patients that had samples available for analysis, indicating the presence of vancomycin-resistant enterococci (VRE) (fig. S2E). Notably, expansions of several different taxa were detected in fecal samples in this study, but the Enterococcus genus was the one most commonly observed dominating the microbiota in all four transplant centers (fig. S3 and tables S5 and S6).

--- Extracted Metadata ---
Keywords: Enterococcus, vancomycin-resistant enterococci, VRE, multivariate analysis, clinical outcomes, microbiota, transplant, MSKCC
Methods: multivariate analysis, clinical outcome analysis
Hypothetical Questions: What is the significance of Enterococcus in clinical outcomes after transplant?, How does the presence of vancomycin-resistant enterococci affect patient outcomes?, What role does gut microbiota play in post-transplant recovery?",1,gvhd_paper,8,"multivariate analysis, clinical outcome analysis","What is the significance of Enterococcus in clinical outcomes after transplant?, How does the presence of vancomycin-resistant enterococci affect patient outcomes?, What role does gut microbiota play in post-transplant recovery?","Enterococcus, vancomycin-resistant enterococci, VRE, multivariate analysis, clinical outcomes, microbiota, transplant, MSKCC"
ef30b0f712e50a154750eb36f2d16a1d,"1Department of Immunology, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 2Weill Cornell Medical College, New York, NY, USA. 3German Cancer Research Center (DKFZ), Heidelberg, Germany. 4Adult Bone Marrow Transplantation Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 5Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 6Department of Internal Medicine II, Technical University of Munich, Munich, Germany. 7Gnotobiotic Facility, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 8Department I of Internal Medicine, Center for Integrated Oncology Aachen Bonn Cologne Duesseldorf, University of Cologne, Cologne, Germany. 9German Center for Infection Research, Partner site Bonn-Cologne, Cologne, Germany. 10Department of Medicine, Section of Infectious Medicine and Global Health, University of Chicago, Chicago, IL, USA. 11Infectious Disease Service, Department of

--- Extracted Metadata ---
Keywords: Immunology, Cancer, Epidemiology, Biostatistics, Infectious Diseases",1,gvhd_paper,9,,,"Immunology, Cancer, Epidemiology, Biostatistics, Infectious Diseases"
6ca1599df9fcc09055808b471460e2a8,"ity of Munich, Munich, Germany. 7Gnotobiotic Facility, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 8Department I of Internal Medicine, Center for Integrated Oncology Aachen Bonn Cologne Duesseldorf, University of Cologne, Cologne, Germany. 9German Center for Infection Research, Partner site Bonn-Cologne, Cologne, Germany. 10Department of Medicine, Section of Infectious Medicine and Global Health, University of Chicago, Chicago, IL, USA. 11Infectious Disease Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 12Laboratory of Comparative Pathology, Memorial Sloan Kettering Cancer Center, The Rockefeller University, Weill Cornell Medicine, New York, NY, USA. 13Diagnostic Molecular Pathology Laboratory, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 14Donald B. and Catherine C. Marron Cancer Metabolism Center, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 15Department of Genomic Medicine, The University of

--- Extracted Metadata ---
Keywords: notobiotic, Infectious Disease, Molecular Pathology, Cancer Metabolism, Genomic Medicine",1,gvhd_paper,10,,,"notobiotic, Infectious Disease, Molecular Pathology, Cancer Metabolism, Genomic Medicine"
