,element_id,text,page_number,filename,chunk_id,method,hypothetical_questions,keywords
0,7f7d5987bf8a1697f967b2ffa39877cc,"RES EARCH

MICROBIOME

Lactose drives Enterococcus expansion to promote graft-versus-host disease

C. K. Stein-Thoeringer1,2,3, K. B. Nichols1,2, A. Lazrak1,2, M. D. Docampo1,2, A. E. Slingerland1,2, J. B. Slingerland1,2, A. G. Clurman4, G. Armijo1,2, A. L. C. Gomes1,2, Y. Shono1,2, A. Staffas1,2, M. Burgos da Silva1,2, S. M. Devlin5, K. A. Markey1,2,4, D. Bajic6, R. Pinedo7, A. Tsakmaklis8,9, E. R. Littmann1,10, A. Pastore1, Y. Taur11, S. Monette12, M. E. Arcila13, A. J. Pickard14, M. Maloy4, R. J. Wright1, L. A. Amoretti1, E. Fontana1, D. Pham15, M. A. Jamal15, D. Weber16, A. D. Sung17, D. Hashimoto18, C. Scheid8, J. B. Xavier19, J. A. Messina20, K. Romero21, M. Lew17, A. Bush17, L. Bohannon17, K. Hayasaka22, Y. Hasegawa18, M. J. G. T. Vehreschild8,9,23, J. R. Cross14, D. M. Ponce2,4, M. A. Perales2,4, S. A. Giralt2,4, R. R. Jenq15, T. Teshima18,22, E. Holler16, N. J. Chao17, E. G. Pamer1,2,10, J. U. Peled1,2,4*†, M. R. M. van den Brink1,2,4*†

--- Extracted Metadata ---
Keywords: microbiome, Lactose, Enterococcus, graft-versus-host disease
Methods: microbiome analysis, graft-versus-host disease, Enterococcus expansion
Hypothetical Questions: How does lactose influence the expansion of Enterococcus?, What is the role of the microbiome in graft-versus-host disease?, Could manipulating lactose levels impact the severity of graft-versus-host disease?",1,gvhd_paper.pdf,1,"microbiome analysis, graft-versus-host disease, Enterococcus expansion","How does lactose influence the expansion of Enterococcus?, What is the role of the microbiome in graft-versus-host disease?, Could manipulating lactose levels impact the severity of graft-versus-host disease?","microbiome, Lactose, Enterococcus, graft-versus-host disease"
1,238d990edb06f14a66463181ef08af24,"Disruption of intestinal microbial communities appears to underlie many human illnesses, but the mechanisms that promote this dysbiosis and its adverse consequences are poorly understood. In patients who received allogeneic hematopoietic cell transplantation (allo-HCT), we describe a high incidence of enterococcal expansion, which was associated with graft-versus-host disease (GVHD) and mortality. We found that Enterococcus also expands in the mouse gastrointestinal tract after allo-HCT and exacerbates disease severity in gnotobiotic models. Enterococcus growth is dependent on the disaccharide lactose, and dietary lactose depletion attenuates Enterococcus outgrowth and reduces the severity of GVHD in mice. Allo-HCT patients carrying lactose-nonabsorber genotypes showed compromised clearance of postantibiotic Enterococcus domination. We report lactose as a common nutrient that drives expansion of a commensal bacterium that exacerbates an intestinal and systemic inflammatory disease.

--- Extracted Metadata ---
Keywords: intestinal microbial communities, dysbiosis, graft-versus-host disease, Enterococcus, lactose, allogeneic hematopoietic cell transplantation
Methods: allo-HCT, gnotobiotic models
Hypothetical Questions: How does the disruption of intestinal microbial communities relate to human illnesses?, What mechanisms promote dysbiosis in patients undergoing allo-HCT?, What is the connection between Enterococcus expansion and graft-versus-host disease?, How does dietary lactose depletion affect Enterococcus growth?, What are the implications of lactose-nonabsorber genotypes on Enterococcus clearance post-antibiotic treatment?",1,gvhd_paper.pdf,2,"allo-HCT, gnotobiotic models","How does the disruption of intestinal microbial communities relate to human illnesses?, What mechanisms promote dysbiosis in patients undergoing allo-HCT?, What is the connection between Enterococcus expansion and graft-versus-host disease?, How does dietary lactose depletion affect Enterococcus growth?, What are the implications of lactose-nonabsorber genotypes on Enterococcus clearance post-antibiotic treatment?","intestinal microbial communities, dysbiosis, graft-versus-host disease, Enterococcus, lactose, allogeneic hematopoietic cell transplantation"
2,47ec11b531d67fcbc2a3e06f5ed928fd,"T he healthy gut is inhabited by a diverse

community of mostly anaerobic bacteria, and a hallmark of microbial imbalance (dysbiosis) observed in many disease states involves the expansion of facul- tative anaerobic bacteria (1). Enterococci are facultative anaerobes that colonize the intes- tines of almost every species, from insects to mammals (2), and make up a very small proportion (<0.1%) of the gut microbiota in healthy humans (3). However, enterococci are also pathogens; the species Enterococcus faecium and Enterococcus faecalis are impor- tant causes of multidrug-resistant infections in patients (4). In single-center studies, E. faecium has been observed to dominate the fecal microbiota of immunocompromised patients after allogeneic hematopoietic cell transplantation (allo-HCT), a curative-intent therapy for hematological malignancies (5–7). Moreover, fecal domination with vancomycin- resistant enterococci increases the risk of

--- Extracted Metadata ---
Keywords: gut microbiota, dysbiosis, facultative anaerobes, Enterococcus faecium, Enterococcus faecalis, multidrug-resistant infections, immunocompromised patients, allogeneic hematopoietic cell transplantation, vancomycin-resistant enterococci",1,gvhd_paper.pdf,3,,,"gut microbiota, dysbiosis, facultative anaerobes, Enterococcus faecium, Enterococcus faecalis, multidrug-resistant infections, immunocompromised patients, allogeneic hematopoietic cell transplantation, vancomycin-resistant enterococci"
3,3adfd860c74dfa9291502ba02dc1cfdc,"bloodstream infection in allo-HCT patients (5, 8). Patients with severe graft-versus-host disease (GVHD) after allo-HCT have poor outcomes with only ~30% long-term survival (9). Gut microbiota perturbations caused by broad-spectrum antibiotics and a reduction in microbial diversity are associated with in- creased transplant-related mortality and lethal GVHD in humans and mice (10–13). Besides causing infections, experimental studies in gno- tobiotic mice have revealed that enterococci play an important role in colitis (14) by stimulat- ing antigen-presenting cells and CD4+RORg+ T cell infiltration, causing intestinal inflam- mation (15). In this study, we investigated the role of enterococci in the development of acute GVHD, both in allo-HCT patients and preclinical allo-HCT mouse models.

We used 16S ribosomal RNA (rRNA) gene sequencing to study the fecal microbiota of 1325 adult allo-HCT recipients at four HCT centers: Memorial Sloan Kettering Cancer

--- Extracted Metadata ---
Keywords: allo-HCT, GVHD, gut microbiota, antibiotics, immune response, enterococci, microbial diversity, transplant-related mortality, intestinal inflammation
Methods: 16S ribosomal RNA (rRNA) gene sequencing
Hypothetical Questions: What is the impact of gut microbiota perturbations on outcomes in allo-HCT patients?, How do enterococci contribute to the development of acute GVHD?, What is the relation between antibiotic use and transplant-related mortality in allo-HCT patients?",1,gvhd_paper.pdf,4,16S ribosomal RNA (rRNA) gene sequencing,"What is the impact of gut microbiota perturbations on outcomes in allo-HCT patients?, How do enterococci contribute to the development of acute GVHD?, What is the relation between antibiotic use and transplant-related mortality in allo-HCT patients?","allo-HCT, GVHD, gut microbiota, antibiotics, immune response, enterococci, microbial diversity, transplant-related mortality, intestinal inflammation"
4,dcac3ccc7ca803df2e1c68f51ae414a9,"Center (MSKCC) (United States), Duke Uni- versity (United States), Hokkaido University (Japan), and University Hospital Regensburg (Germany). Patient characteristics are shown in table S1. We observed high abundance of enterococci soon after transplantation in samples from all four transplant centers (Fig. 1B and fig. S1B). We defined Enterococcus domination as relative genus abundance ≥0.3 (≥30%) in any fecal sample, following a thresh- old we have used previously (5) (materials and methods and fig. S2C). The incidence of domination rose comparably across cen- ters, with up to 65% of patients exhibiting a domination event after allo-HCT (Fig. 1A). E. faecium was the dominant species in both the MSKCC and the multicenter-validation cohort (Duke, Hokkaido, and Regensburg) (Fig. 1B, fig. S1, and table S2), where 40.1% of MSKCC patients (441 of 1101 patients) and 46.0% of multicenter-validation patients (103 of 224 patients) met criteria for domination at any time point between day −20

--- Extracted Metadata ---
Keywords: Enterococcus, allo-HCT, enterococci domination, fecal samples, transplant centers, E. faecium
Methods: allo-HCT
Hypothetical Questions: What factors contribute to the domination of enterococci after transplantation?, How does the incidence of enterococcus domination vary across different transplant centers?, What are the long-term effects of enterococcus domination on patient health post-transplant?",1,gvhd_paper.pdf,5,allo-HCT,"What factors contribute to the domination of enterococci after transplantation?, How does the incidence of enterococcus domination vary across different transplant centers?, What are the long-term effects of enterococcus domination on patient health post-transplant?","Enterococcus, allo-HCT, enterococci domination, fecal samples, transplant centers, E. faecium"
5,c04a81921fde24f9e0cbc0b231668e7e,"nd fig. S2C). The incidence of domination rose comparably across cen- ters, with up to 65% of patients exhibiting a domination event after allo-HCT (Fig. 1A). E. faecium was the dominant species in both the MSKCC and the multicenter-validation cohort (Duke, Hokkaido, and Regensburg) (Fig. 1B, fig. S1, and table S2), where 40.1% of MSKCC patients (441 of 1101 patients) and 46.0% of multicenter-validation patients (103 of 224 patients) met criteria for domination at any time point between day −20 and day +80 relative to the date of allo-HCT, in which cells are infused on day 0.

--- Extracted Metadata ---
Keywords: allo-HCT, E. faecium, domination events, incidence, multicenter-validation cohort
Methods: allo-HCT
Hypothetical Questions: What factors contribute to the incidence of domination events after allo-HCT?, How does the prevalence of E. faecium compare to other species post allo-HCT?, What is the significance of the 40.1% and 46.0% domination rates observed in the MSKCC and multicenter-validation cohorts, respectively?",1,gvhd_paper.pdf,6,allo-HCT,"What factors contribute to the incidence of domination events after allo-HCT?, How does the prevalence of E. faecium compare to other species post allo-HCT?, What is the significance of the 40.1% and 46.0% domination rates observed in the MSKCC and multicenter-validation cohorts, respectively?","allo-HCT, E. faecium, domination events, incidence, multicenter-validation cohort"
6,8b6ad225be4c4466a49438b73e0bdd2c,"Fecal domination by Enterococcus in the early posttransplant period (day 0 to +21) was associated with significantly reduced overall survival and increased GVHD-related mortality in both the MSKCC and multicenter- validation cohort, as well as an increased risk of moderate-to-severe acute GVHD in the MSKCC cohort (Fig. 1, C and D, fig. S2, A and B, and table S3). The risk of relapse or disease progression was not associated with enterococcal domination in either cohort. The association of domination by genus Enterococcus with clinical outcomes in the MSKCC cohort remained significant in a multivariate analysis adjusted for graft source, disease, conditioning intensity, gender, and age (table S4). In a subset of MSKCC patients, the vanA operon was found in 152 (37.4%) of 406 patients that had samples available for analysis, indicating the presence of vancomycin-resistant enterococci (VRE) (fig. S2E). Notably, expansions of several different taxa were detected in fecal samples in this

--- Extracted Metadata ---
Keywords: Enterococcus, GVHD, transplant, vancomycin-resistant enterococci, microbiome, acute GVHD, overall survival
Methods: microbiome analysis, multivariate analysis, evaluation of clinical outcomes
Hypothetical Questions: What is the impact of Enterococcus dominance on patient survival after transplant?, How does the presence of vancomycin-resistant enterococci affect transplant outcomes?, What are the implications of fecal microbiome composition on acute GVHD risk?",1,gvhd_paper.pdf,7,"microbiome analysis, multivariate analysis, evaluation of clinical outcomes","What is the impact of Enterococcus dominance on patient survival after transplant?, How does the presence of vancomycin-resistant enterococci affect transplant outcomes?, What are the implications of fecal microbiome composition on acute GVHD risk?","Enterococcus, GVHD, transplant, vancomycin-resistant enterococci, microbiome, acute GVHD, overall survival"
7,6e38c9c17c1e63a0fdd016372d9204dd,"nation by genus Enterococcus with clinical outcomes in the MSKCC cohort remained significant in a multivariate analysis adjusted for graft source, disease, conditioning intensity, gender, and age (table S4). In a subset of MSKCC patients, the vanA operon was found in 152 (37.4%) of 406 patients that had samples available for analysis, indicating the presence of vancomycin-resistant enterococci (VRE) (fig. S2E). Notably, expansions of several different taxa were detected in fecal samples in this study, but the Enterococcus genus was the one most commonly observed dominating the microbiota in all four transplant centers (fig. S3 and tables S5 and S6).

--- Extracted Metadata ---
Keywords: Enterococcus, vanA operon, vancomycin-resistant enterococci, fecal samples, clinical outcomes, MSKCC cohort
Methods: multivariate analysis
Hypothetical Questions: What are the clinical outcomes associated with Enterococcus in transplant patients?, How does the presence of the vanA operon affect patient outcomes in the MSKCC cohort?, What factors were controlled for in the multivariate analysis of Enterococcus?, What is the prevalence of vancomycin-resistant enterococci in the MSKCC cohort?, How does the Enterococcus genus compare to other taxa in fecal samples after transplantation?",1,gvhd_paper.pdf,8,multivariate analysis,"What are the clinical outcomes associated with Enterococcus in transplant patients?, How does the presence of the vanA operon affect patient outcomes in the MSKCC cohort?, What factors were controlled for in the multivariate analysis of Enterococcus?, What is the prevalence of vancomycin-resistant enterococci in the MSKCC cohort?, How does the Enterococcus genus compare to other taxa in fecal samples after transplantation?","Enterococcus, vanA operon, vancomycin-resistant enterococci, fecal samples, clinical outcomes, MSKCC cohort"
8,17149fec61a0e6af27bb2d7d1d86990b,"1Department of Immunology, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 2Weill Cornell Medical College, New York, NY, USA. 3German Cancer Research Center (DKFZ), Heidelberg, Germany. 4Adult Bone Marrow Transplantation Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 5Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 6Department of Internal Medicine II, Technical University of Munich, Munich, Germany. 7Gnotobiotic Facility, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 8Department I of Internal Medicine, Center for Integrated Oncology Aachen Bonn Cologne Duesseldorf, University of Cologne, Cologne, Germany. 9German Center for Infection Research, Partner site Bonn-Cologne, Cologne, Germany. 10Department of Medicine, Section of Infectious Medicine and Global Health, University of Chicago, Chicago, IL, USA. 11Infectious Disease Service, Department of

--- Extracted Metadata ---
Keywords: Immunology, Cancer, Bone Marrow Transplantation, Epidemiology, Biostatistics, Infectious Disease",1,gvhd_paper.pdf,9,,,"Immunology, Cancer, Bone Marrow Transplantation, Epidemiology, Biostatistics, Infectious Disease"
9,75de3317d2e5f398bc35924c1d2c2b86,"ity of Munich, Munich, Germany. 7Gnotobiotic Facility, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 8Department I of Internal Medicine, Center for Integrated Oncology Aachen Bonn Cologne Duesseldorf, University of Cologne, Cologne, Germany. 9German Center for Infection Research, Partner site Bonn-Cologne, Cologne, Germany. 10Department of Medicine, Section of Infectious Medicine and Global Health, University of Chicago, Chicago, IL, USA. 11Infectious Disease Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 12Laboratory of Comparative Pathology, Memorial Sloan Kettering Cancer Center, The Rockefeller University, Weill Cornell Medicine, New York, NY, USA. 13Diagnostic Molecular Pathology Laboratory, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 14Donald B. and Catherine C. Marron Cancer Metabolism Center, Memorial Sloan Kettering Cancer Center, New York, NY, USA. 15Department of Genomic Medicine, The University of

--- Extracted Metadata ---
Keywords: not applicable",1,gvhd_paper.pdf,10,,,not applicable
